query_table,candidate_table,query_col_name,candidate_col_name
csvData7001368__0.csv,csvData7001368__0.csv,Movable-Swing,Movable-Swing
csvData7001368__0.csv,csvData7001368__0.csv,Arch-Deck,Arch-Deck
csvData7001368__0.csv,csvData7001368__0.csv,Segmental Box Girder,Segmental Box Girder
csvData7001368__0.csv,csvData7001368__0.csv,Tunnel,Tunnel
csvData7001368__0.csv,csvData7001368__0.csv,Box Beam or Girders (Single or Spread),Box Beam or Girders (Single or Spread)
csvData7001368__0.csv,csvData7001368__0.csv,Slab,Slab
csvData7001368__0.csv,csvData7001368__0.csv,Truss-Deck,Truss-Deck
csvData7001368__0.csv,csvData7001368__0.csv,Stringer /Multi-Beam or Girder,Stringer /Multi-Beam or Girder
csvData7001368__0.csv,csvData7001368__0.csv,Stayed Girder,Stayed Girder
csvData7001368__0.csv,csvData7001368__0.csv,Orthotropic,Orthotropic
csvData7001368__0.csv,csvData7001368.csv,Movable-Swing,Movable-Swing
csvData7001368__0.csv,csvData7001368.csv,Arch-Deck,Arch-Deck
csvData7001368__0.csv,csvData7001368.csv,Segmental Box Girder,Segmental Box Girder
csvData7001368__0.csv,csvData7001368.csv,Tunnel,Tunnel
csvData7001368__0.csv,csvData7001368.csv,Box Beam or Girders (Single or Spread),Box Beam or Girders (Single or Spread)
csvData7001368__0.csv,csvData7001368.csv,Slab,Slab
csvData7001368__0.csv,csvData7001368.csv,Truss-Deck,Truss-Deck
csvData7001368__0.csv,csvData7001368.csv,Stringer /Multi-Beam or Girder,Stringer /Multi-Beam or Girder
csvData7001368__0.csv,csvData7001368.csv,Stayed Girder,Stayed Girder
csvData7001368__0.csv,csvData7001368.csv,Orthotropic,Orthotropic
csvData7001368__0.csv,csvData7001368__1.csv,Movable-Swing,Movable-Swing
csvData7001368__0.csv,csvData7001368__1.csv,Arch-Deck,Arch-Deck
csvData7001368__0.csv,csvData7001368__1.csv,Segmental Box Girder,Segmental Box Girder
csvData7001368__0.csv,csvData7001368__1.csv,Tunnel,Tunnel
csvData7001368__0.csv,csvData7001368__1.csv,Box Beam or Girders (Single or Spread),Box Beam or Girders (Single or Spread)
csvData7001368__0.csv,csvData7001368__1.csv,Slab,Slab
csvData7001368__0.csv,csvData7001368__1.csv,Truss-Deck,Truss-Deck
csvData7001368__0.csv,csvData7001368__1.csv,Stringer /Multi-Beam or Girder,Stringer /Multi-Beam or Girder
csvData7001368__0.csv,csvData7001368__1.csv,Stayed Girder,Stayed Girder
csvData7001368__0.csv,csvData7001368__1.csv,Orthotropic,Orthotropic
csvData7001368__0.csv,csvData18230187.csv,Movable-Swing,Movable-Swing
csvData7001368__0.csv,csvData18230187.csv,Arch-Deck,Arch-Deck
csvData7001368__0.csv,csvData18230187.csv,Segmental Box Girder,Segmental Box Girder
csvData7001368__0.csv,csvData18230187.csv,Tunnel,Tunnel
csvData7001368__0.csv,csvData18230187.csv,Box Beam or Girders (Single or Spread),Box Beam or Girders (Single or Spread)
csvData7001368__0.csv,csvData18230187.csv,Slab,Slab
